id,Neighborhood,Sector #,Population (2010),"Total Pop, 25 and older (2010)",Edu. Attainment: Less than High School (2010),Edu. Attainment: High School Graduate (2010),Edu. Attainment: Assoc./Prof. Degree (2010),Edu. Attainment: Bachelor's Degree (2010),Edu. Attainment: Postgraduate Degree (2010),1999 Median Income ('99 Dollars),2009 Median Income ('09 Dollars),1999 Median Income ('11 Dollars),2009 Med. Income ('13 Dollars),Est. Pop. for which Poverty Calc. (2010),Est. Pop. Under Poverty (2010),Est. Percent Under Poverty (2010)
43,South Shore,16,19,21,0.0000,0.5240,0.0000,0.0000,0.4760,"$12,188 ","$150,250 ","$16,191 ","$163,773 ",38,0,0.00%
88,Arlington Heights,7,244,166,0.1810,0.7410,0.0000,0.0780,0.0000,"$18,646 ","$9,417 ","$24,769 ","$10,265 ",293,169,57.70%
86,California-Kirkbride,3,761,416,0.0890,0.7240,0.0240,0.1630,0.0000,"$23,750 ","$26,351 ","$31,550 ","$28,723 ",912,572,62.70%
78,Spring Garden,1,884,"1,085",0.2370,0.6680,0.0240,0.0560,0.0150,"$30,050 ","$38,418 ","$39,918 ","$41,876 ","1,366",189,13.80%
81,Mt. Oliver,7,509,355,0.2250,0.6870,0.0280,0.0000,0.0590,"$31,832 ","$38,505 ","$42,285 ","$41,970 ",552,201,36.40%
63,Knoxville,6,"3,747","2,379",0.2210,0.6020,0.0320,0.1110,0.0330,"$26,488 ","$27,893 ","$35,187 ","$30,403 ","3,947","1,130",28.60%
18,Central Oakland,14,"6,086","1,075",0.2360,0.3950,0.0340,0.1490,0.1850,"$14,888 ","$16,717 ","$19,777 ","$18,222 ","4,472","2,897",64.80%
29,West Oakland,14,"2,604","1,036",0.1200,0.4670,0.0410,0.2010,0.1720,"$23,517 ","$20,962 ","$31,240 ","$22,849 ","1,626",758,46.60%
87,Bluff,15,"6,600","2,834",0.1410,0.7390,0.0440,0.0260,0.0500,"$11,515 ","$12,795 ","$15,297 ","$13,947 ","1,365","1,095",80.20%
89,East Carnegie,4,570,204,0.0980,0.7990,0.0490,0.0000,0.0540,"$26,429 ","$40,750 ","$35,108 ","$44,418 ",255,32,12.50%
46,Esplen,4,301,174,0.3450,0.5400,0.0520,0.0000,0.0630,"$28,000 ","$13,618 ","$37,195 ","$14,844 ",262,159,60.70%
80,Ridgemont,4,483,444,0.0970,0.6730,0.0520,0.1530,0.0250,"$32,292 ","$56,250 ","$42,897 ","$61,313 ",465,39,8.40%
69,Perry South,2,"4,145","2,620",0.1540,0.6350,0.0530,0.1240,0.0330,"$25,910 ","$29,797 ","$34,419 ","$32,478 ","3,828","1,418",37.00%
